[151.98] AT+CSQ         -> AT+CSQ | +CSQ: 23,99 | OK
[154.49] AT+CEREG?      -> AT+CEREG? | +CEREG: 0,1 | OK
[154.49] AT+CFUN?       -> AT+CFUN? | +CFUN: 1 | OK
[154.49] AT+CSQ         -> AT+CSQ | +CSQ: 23,99 | OK
[154.50] AT$QCSYSMODE?  -> AT$QCSYSMODE? | LTE | OK
[154.50] AT+CEREG?      -> AT+CEREG? | +CEREG: 0,1 | OK
[154.51] AT+CFUN?       -> AT+CFUN? | +CFUN: 1 | OK
[154.51] AT+CSQ         -> AT+CSQ | +CSQ: 23,99 | OK
[154.52] AT$QCSYSMODE?  -> AT$QCSYSMODE? | LTE | OK
[154.52] AT+CEREG?      -> AT+CEREG? | +CEREG: 0,1 | OK
[154.53] AT+CFUN?       -> AT+CFUN? | +CFUN: 1 | OK
[154.53] AT+CSQ         -> AT+CSQ | +CSQ: 23,99 | OK
[154.54] AT$QCSYSMODE?  -> AT$QCSYSMODE? | LTE | OK
[154.54] AT+CEREG?      -> AT+CEREG? | +CEREG: 0,1 | OK
[154.55] AT+CFUN?       -> AT+CFUN? | +CFUN: 1 | OK
[154.55] AT+CSQ         -> AT+CSQ | +CSQ: 23,99 | OK
[154.56] AT$QCSYSMODE?  -> AT$QCSYSMODE? | LTE | OK
[154.56] AT+CEREG?      -> AT+CEREG? | +CEREG: 0,1 | OK
[154.57] AT+CFUN?       -> AT+CFUN? | +CFUN: 1 | OK
[154.57] AT+CSQ         -> AT+CSQ | +CSQ: 23,99 | OK
[154.58] AT$QCSYSMODE?  -> AT$QCSYSMODE? | LTE | OK
[154.58] AT+CEREG?      -> AT+CEREG? | +CEREG: 0,1 | OK
[154.58] AT+CFUN?       -> AT+CFUN? | +CFUN: 1 | OK
[154.59] AT+CSQ         -> AT+CSQ | +CSQ: 23,99 | OK
[154.60] AT$QCSYSMODE?  -> AT$QCSYSMODE? | LTE | OK
[154.60] AT+CEREG?      -> AT+CEREG? | +CEREG: 0,1 | OK
[154.61] AT+CFUN?       -> AT+CFUN? | +CFUN: 1 | OK
[154.61] AT+CSQ         -> AT+CSQ | +CSQ: 23,99 | OK
[154.61] AT$QCSYSMODE?  -> AT$QCSYSMODE? | LTE | OK
[154.62] AT+CEREG?      -> AT+CEREG? | +CEREG: 0,1 | OK
[154.62] AT+CFUN?       -> AT+CFUN? | +CFUN: 1 | OK
[154.63] AT+CSQ         -> AT+CSQ | +CSQ: 23,99 | OK
[154.63] AT$QCSYSMODE?  -> AT$QCSYSMODE? | LTE | OK
[154.63] AT+CEREG?      -> AT+CEREG? | +CEREG: 0,1 | OK
[154.64] AT+CFUN?       -> AT+CFUN? | +CFUN: 1 | OK
[154.64] AT+CSQ         -> AT+CSQ | +CSQ: 23,99 | OK
[154.65] AT$QCSYSMODE?  -> AT$QCSYSMODE? | LTE | OK
[154.65] AT+CEREG?      -> AT+CEREG? | +CEREG: 0,1 | OK
[154.66] AT+CFUN?       -> AT+CFUN? | +CFUN: 1 | OK
[154.66] AT+CSQ         -> AT+CSQ | +CSQ: 23,99 | OK
[154.67] AT$QCSYSMODE?  -> AT$QCSYSMODE? | LTE | OK
[154.67] AT+CEREG?      -> AT+CEREG? | +CEREG: 0,1 | OK
[154.68] AT+CFUN?       -> AT+CFUN? | +CFUN: 1 | OK
